<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,,,,,,,,,,,,
10-Sep-18,103080,103090,103080,103090,,,,,,,,,,,,
10-Sep-18,103100,103100,103100,103100,,,,,,,,,,,,
10-Sep-18,103080,103080,103080,103080,,,,,,,,,,,,
10-Sep-18,103060,103060,103050,103050,,,,,,,,,,,,
10-Sep-18,103060,103060,103050,103050,,,,,,,,,,,,
10-Sep-18,103120,103120,103120,103120,,,,,,,,,,,,
10-Sep-18,103090,103090,103090,103090,,,,,,,,,,,,
10-Sep-18,103110,103110,103110,103110,,,,,,,,,,,,
10-Sep-18,103060,103060,103030,103030,,,,,,,,,,,,
10-Sep-18,103010,103030,102970,102990,,,,,,,,,,,,
10-Sep-18,102990,102990,102990,102990,,,,,,,,,,,,
10-Sep-18,102980,102980,102980,102980,,,,,,,,,,,,
